Label;ID;TRACK_ID;QUALITY;POSITION_X;POSITION_Y;POSITION_Z;POSITION_T;FRAME;RADIUS;VISIBILITY;MEAN_INTENSITY01;MEAN_INTENSITY02;MEAN_INTENSITY03;MEAN_INTENSITY04;MEAN_INTENSITY05;MEAN_INTENSITY06;MEAN_INTENSITY07;MEAN_INTENSITY08;MEAN_INTENSITY09;MEAN_INTENSITY10;MANUAL_COLOR;MEAN_INTENSITY;MEDIAN_INTENSITY;MIN_INTENSITY;MAX_INTENSITY;TOTAL_INTENSITY;STANDARD_DEVIATION;ESTIMATED_DIAMETER;CONTRAST;SNR
ID1270;1270;111;33,376;104,65;313,3;0;0;0;7;1;343,816;13,019;1659,387;6,741;None;None;None;None;None;None;-10921639;1659,387;1766;439;2159;685327;402,601;11,28;0,445;2,539
ID400;400;111;34,252;105,95;313,3;0;600;1;7;1;350,199;12,939;1674,235;8,058;None;None;None;None;None;None;-10921639;1674,235;1788;530;2194;691459;402,576;11,294;0,462;2,628
ID2133;2133;111;33,762;105,3;312,65;0;1200;2;7;1;342,726;12,068;1655,535;7,86;None;None;None;None;None;None;-10921639;1655,535;1771;495;2172;683736;414,652;11,278;0,455;2,497
ID1564;1564;111;35,523;105,3;314,6;0;1800;3;7;1;356,179;12,91;1684,019;7,666;None;None;None;None;None;None;-10921639;1684,019;1788;449;2263;695500;432,652;11,283;0,48;2,525
ID1850;1850;111;34,612;104;313,95;0;2400;4;7;1;338,925;12,496;1648,024;8,39;None;None;None;None;None;None;-10921639;1648,024;1758;310;2222;680634;402,544;11,302;0,49;2,692
ID2425;2425;111;33,427;104,65;314,6;0;3000;5;7;1;336,692;12,044;1628,93;7,087;None;None;None;None;None;None;-10921639;1628,93;1756;374;2208;672748;434,239;11,297;0,472;2,405
ID985;985;111;32,516;104;313,95;0;3600;6;7;1;338,7;11,949;1634,644;7,903;None;None;None;None;None;None;-10921639;1634,644;1766;386;2194;675108;439,57;11,294;0,444;2,288
ID692;692;111;32,866;104,65;313,95;0;4200;7;7;1;329,879;11,998;1618,782;8,472;None;None;None;None;None;None;-10921639;1618,782;1743;374;2104;668557;415,999;11,3;0,465;2,472
ID4206;4206;111;33,364;105,3;313,95;0;4800;8;7;1;334,789;12,937;1633,937;8,056;None;None;None;None;None;None;-10921639;1633,937;1771;419;2123;674816;412,076;11,317;0,479;2,567
ID3014;3014;111;32,809;104;314,6;0;5400;9;7;1;334,409;13,927;1625,542;6,821;None;None;None;None;None;None;-10921639;1625,542;1741;374;2182;671349;423,198;11,299;0,462;2,428
ID3306;3306;111;32,902;103,35;313,95;0;6000;10;7;1;325,646;12,027;1602,741;7,472;None;None;None;None;None;None;-10921639;1602,741;1705;468;2186;661932;413,532;11,302;0,478;2,507
ID2718;2718;111;32,118;102,7;314,6;0;6600;11;7;1;326,671;13,458;1605,763;7,613;None;None;None;None;None;None;-10921639;1605,763;1720;429;2214;663180;439,365;11,266;0,445;2,25
