Label;ID;TRACK_ID;QUALITY;POSITION_X;POSITION_Y;POSITION_Z;POSITION_T;FRAME;RADIUS;VISIBILITY;MEAN_INTENSITY01;MEAN_INTENSITY02;MEAN_INTENSITY03;MEAN_INTENSITY04;MEAN_INTENSITY05;MEAN_INTENSITY06;MEAN_INTENSITY07;MEAN_INTENSITY08;MEAN_INTENSITY09;MEAN_INTENSITY10;MANUAL_COLOR;MEAN_INTENSITY;MEDIAN_INTENSITY;MIN_INTENSITY;MAX_INTENSITY;TOTAL_INTENSITY;STANDARD_DEVIATION;ESTIMATED_DIAMETER;CONTRAST;SNR
ID2570978;2570978;193;27,131;313,3;603,2;0;0;0;7;1;445,528;13,002;1403,308;7,123;None;None;None;None;None;None;-10921639;1403,308;1471;416;1925;579566;359,572;11,205;0,385;2,168
ID2571872;2571872;193;26,934;313,3;603,85;0;600;1;7;1;446,738;13,988;1407,305;7,082;None;None;None;None;None;None;-10921639;1407,305;1478;416;1934;581217;357,656;11,21;0,385;2,186
ID2571274;2571274;193;26,218;313,95;603,2;0;1200;2;7;1;460,235;12,78;1425,247;7,291;None;None;None;None;None;None;-10921639;1425,247;1509;346;1945;588627;355,017;11,215;0,366;2,151
ID2570685;2570685;193;25,492;314,6;604,5;0;1800;3;7;1;444,6;13,705;1400,78;7,31;None;None;None;None;None;None;-10921639;1400,78;1507;438;1893;578522;352,298;11,196;0,348;2,054
ID2572473;2572473;193;24,86;313,95;602,55;0;2400;4;7;1;446,639;13,755;1407,114;7,959;None;None;None;None;None;None;-10921639;1407,114;1513;470;1905;581138;338,167;11,221;0,351;2,16
ID2571577;2571577;193;24,245;313,95;603,2;0;3000;5;7;1;447,69;14,012;1415,424;6,668;None;None;None;None;None;None;-10921639;1415,424;1507;537;1910;584570;322,555;11,225;0,336;2,206
ID2572175;2572175;193;23,87;314,6;603,2;0;3600;6;7;1;438,085;12,552;1382,358;6,983;None;None;None;None;None;None;-10921639;1382,358;1460;373;1962;570914;370,596;11,166;0,31;1,764
ID2572776;2572776;193;23,699;315,25;604,5;0;4200;7;7;1;440,22;12,91;1392,351;7,852;None;None;None;None;None;None;-10921639;1392,351;1465;449;1985;575041;342,15;11,204;0,316;1,956
ID2573386;2573386;193;26,138;316,55;604,5;0;4800;8;7;1;435,286;12,484;1378,898;7,516;None;None;None;None;None;None;-10921639;1378,898;1470;339;1944;569485;367,913;11,184;0,355;1,964
ID2573085;2573085;193;25,915;317,2;605,15;0;5400;9;7;1;431,404;13,341;1372,995;6,334;None;None;None;None;None;None;-10921639;1372,995;1467;325;1883;567047;364,208;11,192;0,364;2,012
ID2573692;2573692;193;25,905;317,2;605,15;0;6000;10;7;1;423,516;13,145;1357,085;7,114;None;None;None;None;None;None;-10921639;1357,085;1478;302;1845;560476;381,467;11,171;0,37;1,923
ID2573990;2573990;193;25,467;317,85;605,8;0;6600;11;7;1;428,978;13,087;1372,23;7,077;None;None;None;None;None;None;-10921639;1372,23;1494;268;1762;566731;355,812;11,219;0,374;2,101
ID2574290;2574290;193;25,009;317,85;605,15;0;7200;12;7;1;416,47;14,065;1335,172;6,654;None;None;None;None;None;None;-10921639;1335,172;1460;250;1793;551426;403,925;11,151;0,356;1,737
ID2574894;2574894;193;24,957;317,85;604,5;0;7800;13;7;1;418,252;13,622;1345,525;7,508;None;None;None;None;None;None;-10921639;1345,525;1450;277;1775;555702;381,639;11,159;0,353;1,842
ID2574590;2574590;193;25,279;317,2;604,5;0;8400;14;7;1;410,908;14,918;1334,872;6,954;None;None;None;None;None;None;-10921639;1334,872;1448;302;1779;551302;390,242;11,146;0,359;1,808
ID2575196;2575196;193;24,096;317,2;605,15;0;9000;15;7;1;421,424;12,489;1359,973;7,702;None;None;None;None;None;None;-10921639;1359,973;1462;346;1808;561669;362,803;11,181;0,334;1,879
ID2575500;2575500;193;23,042;317,2;604,5;0;9600;16;7;1;414,274;12,341;1338,789;7,368;None;None;None;None;None;None;-10921639;1338,789;1447;268;1830;552920;397,001;11,105;0,302;1,563
ID2576738;2576738;193;22,976;317,2;605,15;0;10200;17;7;1;424,38;13,492;1365,492;7,14;None;None;None;None;None;None;-10921639;1365,492;1447;339;1829;563948;371,084;11,112;0,293;1,667
